node_id,name,id,node_type,is_hub,cleaned_name
0,1%_fat_buttermilk,,ingredient,no_hub,fat_buttermilk
1,1%_fat_cottage_cheese,,ingredient,no_hub,fat_cottage_cheese
3,10%_cream,,ingredient,no_hub,cream
4,100%_bran,,ingredient,no_hub,bran
5,10_inch_flour_tortilla,,ingredient,no_hub,flour_tortilla
7,12_inch_pizza_crust,,ingredient,no_hub,pizza_crust
9,18%_table_cream,,ingredient,no_hub,table_cream
10,2%_buttermilk,,ingredient,no_hub,buttermilk
11,2%_cheddar_cheese,,ingredient,no_hub,cheddar_cheese
12,2%_evaporated_milk,,ingredient,no_hub,evaporated_milk
13,2%_fat_cottage_cheese,,ingredient,no_hub,fat_cottage_cheese
15,2%_milk,,ingredient,no_hub,milk
16,2%_mozzarella_cheese,,ingredient,no_hub,mozzarella_cheese
17,35%_cream,,ingredient,no_hub,cream
18,6_inch_corn_tortilla,,ingredient,no_hub,corn_tortilla
19,6_inch_flour_tortilla,,ingredient,no_hub,flour_tortilla
20,7_up,,ingredient,no_hub,7_up
22,80%_lean_ground_beef,,ingredient,no_hub,lean_ground_beef
23,85%_lean_ground_beef,,ingredient,no_hub,lean_ground_beef
24,8_inch_flour_tortilla,,ingredient,no_hub,flour_tortilla
25,"9""_pastry_pie_shell",,ingredient,no_hub,9_pastry_pie_shell
26,"9""_unbaked_pie_shell",,ingredient,no_hub,9_unbaked_pie_shell
27,90%_lean_ground_beef,,ingredient,no_hub,lean_ground_beef
28,93%_lean_ground_beef,,ingredient,no_hub,lean_ground_beef
29,95%_lean_ground_beef,,ingredient,no_hub,lean_ground_beef
30,96%_lean_ground_beef,,ingredient,no_hub,lean_ground_beef
31,98%_fat_free_cream_of_chicken_soup,,ingredient,no_hub,cream_of_chicken_soup
32,98%_fat_free_cream_of_mushroom_soup,,ingredient,no_hub,cream_of_mushroom_soup
33,9_inch_baked_pie_crust,,ingredient,no_hub,baked_pie_crust
34,9_inch_deep_dish_pie_crust,,ingredient,no_hub,deep_dish_pie_crust
35,9_inch_graham_cracker_crust,,ingredient,no_hub,graham_cracker_crust
36,9_inch_pie_shell,,ingredient,no_hub,pie_shell
37,a.1._original_sauce,,ingredient,no_hub,a_1_original
38,abalone,,ingredient,hub,abalone
39,absinthe,,ingredient,no_hub,absinthe
40,absolut_citron_vodka,,ingredient,no_hub,absolut_citron_vodka
44,achiote,,ingredient,no_hub,achiote
45,achiote_oil,,ingredient,no_hub,achiote
46,achiote_paste,,ingredient,no_hub,achiote
47,achiote_powder,,ingredient,no_hub,achiote
49,acini_di_pepe_pasta,,ingredient,no_hub,acini_di_pepe_pasta
50,acorn,,ingredient,hub,acorn
51,acorn_squash,,ingredient,no_hub,acorn_squash
52,active_dry_yeast,,ingredient,no_hub,active_dry_yeast
53,active_starter,,ingredient,no_hub,active_starter
54,adobo_sauce,,ingredient,no_hub,adobo
55,adobo_seasoning,,ingredient,no_hub,adobo
56,advocaat,,ingredient,no_hub,advocaat
57,adzuki_bean,,ingredient,hub,adzuki_bean
58,agar,,ingredient,hub,agar
59,agar_agar,,ingredient,no_hub,agar_agar
60,agar_agar_flake,,ingredient,no_hub,agar_agar_flake
61,agave,,ingredient,hub,agave
62,agave_nectar,,ingredient,no_hub,agave_nectar
63,agave_syrup,,ingredient,no_hub,agave_syrup
64,aged_cheddar_cheese,,ingredient,no_hub,aged_cheddar_cheese
65,aged_white_cheddar_cheese,,ingredient,no_hub,aged_white_cheddar_cheese
66,ahi,,ingredient,no_hub,ahi
67,ahi_tuna_steak,,ingredient,no_hub,ahi_tuna_steak
68,aioli,,ingredient,no_hub,aioli
69,ajinomoto,,ingredient,no_hub,ajinomoto
70,ajwain,,ingredient,no_hub,ajwain
71,albacore_tuna,,ingredient,hub,albacore_tuna
72,albacore_tuna_in_water,,ingredient,no_hub,albacore_tuna_in_water
73,alcaparrado,,ingredient,no_hub,alcaparrado
74,alcohol,,ingredient,no_hub,alcohol
75,ale,,ingredient,no_hub,ale
76,aleppo_pepper,,ingredient,no_hub,aleppo_pepper
77,alfalfa,,ingredient,hub,alfalfa
78,alfalfa_sprout,,ingredient,no_hub,alfalfa_sprout
79,alfredo_sauce,,ingredient,no_hub,alfredo
80,alfredo_sauce_mix,,ingredient,no_hub,alfredo_sauce
81,all_bran_cereal,,ingredient,no_hub,all_bran_cereal
82,all_purpose_flour,,ingredient,no_hub,all_purpose_flour
83,all_purpose_greek_seasoning,,ingredient,no_hub,all_purpose_greek
84,all_purpose_white_flour,,ingredient,no_hub,all_purpose_white_flour
85,alligator_meat,,ingredient,no_hub,alligator
86,allspice,,ingredient,hub,allspice
87,allspice_berry,,ingredient,no_hub,allspice_berry
88,almond,,ingredient,hub,almond
89,almond_bark,,ingredient,no_hub,almond_bark
90,almond_biscotti,,ingredient,no_hub,almond_biscotti
91,almond_brickle_chip,,ingredient,no_hub,almond_brickle_chip
92,almond_butter,,ingredient,no_hub,almond_butter
93,almond_essence,,ingredient,no_hub,almond_essence
94,almond_extract,,ingredient,no_hub,almond
95,almond_filling,,ingredient,no_hub,almond_filling
96,almond_flavored_liqueur,,ingredient,no_hub,almond_flavored_liqueur
97,almond_flavoring,,ingredient,no_hub,almond_flavoring
98,almond_flour,,ingredient,no_hub,almond_flour
99,almond_half,,ingredient,no_hub,almond_half
100,almond_liqueur,,ingredient,no_hub,almond_liqueur
101,almond_macaroon,,ingredient,no_hub,almond_macaroon
102,almond_meal,,ingredient,no_hub,almond_meal
103,almond_milk,,ingredient,no_hub,almond_milk
104,almond_oil,,ingredient,no_hub,almond
105,almond_paste,,ingredient,no_hub,almond
106,almond_powder,,ingredient,no_hub,almond
107,almond_syrup,,ingredient,no_hub,almond_syrup
108,almond_toffee_bit,,ingredient,no_hub,almond_toffee_bit
110,alphabet_pasta,,ingredient,no_hub,alphabet_pasta
111,alum,,ingredient,no_hub,alum
112,aluminum_foil,,ingredient,no_hub,aluminum_foil
113,aluminum_free_baking_powder,,ingredient,no_hub,aluminum_free_baking
114,amaranth,,ingredient,hub,amaranth
115,amaranth_flour,,ingredient,no_hub,amaranth_flour
116,amaretti,,ingredient,no_hub,amaretti
117,amaretti_cooky,,ingredient,no_hub,amaretti_cooky
118,amaretto,,ingredient,no_hub,amaretto
119,amaretto_cooky,,ingredient,no_hub,amaretto_cooky
120,amaretto_liqueur,,ingredient,no_hub,amaretto_liqueur
121,amarula_cream_liqueur,,ingredient,no_hub,amarula_cream_liqueur
122,amber_beer,,ingredient,no_hub,amber_beer
123,amber_rum,,ingredient,no_hub,amber_rum
124,amchoor_powder,,ingredient,no_hub,amchoor
125,amchur_powder,,ingredient,no_hub,amchur
