compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
naringenin,8192,naringenin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-limonene,8193,(-)-Limonene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(+)-neomenthol,8194,(+)-Neomenthol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-maltose,8195,alpha-Maltose,sweet,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
taxifolin,8196,Taxifolin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-carvone,8197,(-)-Carvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
d-limonene,8198,D-Limonene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
arbutin,8199,arbutin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-beta-pinene,8200,(-)-beta-Pinene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-alpha-pinene,8201,(-)-alpha-Pinene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(+)-delta-cadinene,8202,(+)-delta-Cadinene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-l-sorbopyranose,8203,alpha-L-Sorbopyranose,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
carnosol,8204,carnosol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
levomenol,8205,Levomenol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ac1l9cnw,8206,AC1L9CNW,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5986-55-0,8207,5986-55-0,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-selinene,8208,Beta-Selinene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
naringin,8209,naringin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
carvone_oxide,8210,Carvone_oxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(r)-(-)-alpha-phellandrene,8211,(R)-(-)-alpha-Phellandrene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(+)-pulegone,8212,(+)-Pulegone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(+)-alpha-terpineol,8213,(+)-alpha-Terpineol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(+)-3-carene,8214,(+)-3-Carene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-linalool,8215,(-)-Linalool,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(+)-alpha-phellandrene,8216,(+)-alpha-phellandrene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(-)-alpha-terpineol,8217,(-)-alpha-Terpineol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(+)-isodihydrocarvone,8218,(+)-isodihydrocarvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
trans-aconitic_acid,8219,trans-Aconitic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cinnamic_acid,8220,Cinnamic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
farnesol,8221,farnesol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
resveratrol,8222,resveratrol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
oleic_acid,8223,oleic_acid,fat,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
lycopene,8224,Lycopene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-nonen-4-one,8225,2-Nonen-4-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(+)-trans-limonene_oxide,8226,(+)-trans-Limonene_oxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isoxanthohumol,8227,Isoxanthohumol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
103-95-7,8228,103-95-7,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
bornyl_formate,8229,Bornyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-diethyl-4-methylthiazole",8230,"2,5-Diethyl-4-methylthiazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
furfuryl_methyl_sulfide,8231,Furfuryl_methyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-decanol,8232,3-Decanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"(5xi,7xi,10xi)-eudesma-4(14),11-diene",8233,"(5xi,7xi,10xi)-eudesma-4(14),11-diene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dihydro-beta-ionone,8234,Dihydro-beta-ionone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-sec-butylthiazole,8235,2-sec-Butylthiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
